title,desc,access,publisher,contact,email,bureauCode
Manifest Information Management System (MIMS),NIMS reports information on waste shipments received at commercial low-level radioactive waste disposal facilities.,public,DOE/Office of Environmental Management,Doug Tonkay,douglas.tonkay@em.doe.gov,019:10
Central Internet Database (CID),"CID provides users with Department of Energy (DOE) waste management, cleanup, and facility information.",public,DOE/Office of Environmental Management,Doug Tonkay,douglas.tonkay@em.doe.gov,019:10
Environmental Management webpage,"As the largest environmental cleanup program in the world, EM has been charged with the responsibility of cleaning up 107 sites across the country whose area is equal to the combined area of Rhode Island and Delaware. EM has made substantial progress in nearly every area of nuclear waste cleanup and as of September 2012, completed cleanup at 90 of these sites.",public,DOE/Office of Environmental Management,Michelle Primack,michelle.primack@em.doe.gov,019:10
Waste Information Management System (WIMS),"WIMS provides the ability to easily visualize, understand, and manage the vast volumes, categories, and problems of forecasted waste streams.",public,DOE/Office of Environmental Management,Himanshu Upadhyay,upadhyay@fiu.edu,019:10
EM Groundwater Database,"The EM Groundwater Database provides a centralized location for information relating to groundwater flow, contamination, and remedial approaches across the DOE complex.",restricted public,DOE/Office of Environmental Management,Latrincy Bates,latrincy.bates@em.doe.gov,019:10
West Valley Phase 1 Studies,Information on Decommissioning and Long-Term Stewardship of the West Valley Demonstration Project (WVDP) and Western New York Nuclear Service Center (WNYNSC).,public,DOE/Environmental Management Consolidated Business Center,Ward Best,ward.best@emcbc.doe.gov,019:10
Annual Average Electricity Price by State by Provider From 1990 - Latest Year Available,"Annual data on the average price of retail electricity to consumers. Data organized by U.S. state and by provider, i.e., total electric industry, full-service providers, restructured retail service providers, energy-only providers, and delivery-only service. Annual time series extend back to 1990. Based on Form EIA-861 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual Electricity Price by State,"Annual data on the average price of retail electricity to consumers. Data organized by U.S. state and by provider, i.e., total electric industry, full-service providers, restructured retail service providers, energy-only providers, and delivery-only service. Annual time series extend back to 1990. Based on Form EIA-861 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual Average Retail Sales of Electricity by State by Provider From 1990 - Latest Year Available,"Annual data on the average retail sales of electricity in the U.S. Data organized by state and by provider,i.e., total electric industry, full-service providers, and energy-only providers. Annual time series extend back to 1990. Based on Form EIA-861 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual Number of Retail Customers by State by Sector From 1990 - Latest Year Available,"Annual data on the number of electricity retail customers. Organized by U.S. state and by sector, i.e., residential, commercial, industrial, and transportation. Annual time series extend back to 1990. Based on EIA Form-861 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual Revenue from Retail Sales of Electricity by State by Provider From 1990 - Latest Year Available,"Annual data on the revenue from retail sales of electricity. Organized by state and by provider, i.e., total electric industry, full-service providers, restructured retail service providers, energy-only providers, and delivery-only service.  Annual time series extend back to 1990. Based on EIA Form-861 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
